iter	Passed	Remaining
0	6	6608
1	11	5875
2	17	5684
3	21	5341
4	26	5281
5	30	5113
6	36	5243
7	41	5203
8	48	5350
9	52	5220
10	56	5036
11	60	5016
12	65	4976
13	68	4805
14	73	4809
15	80	4938
16	83	4841
17	88	4816
18	91	4711
19	94	4630
20	97	4553
21	100	4468
22	103	4385
23	106	4310
24	108	4218
25	111	4158
26	114	4110
27	117	4075
28	120	4032
29	122	3969
30	125	3935
31	128	3897
32	132	3868
33	135	3841
34	138	3826
35	141	3786
36	144	3757
37	147	3731
38	150	3706
39	153	3691
40	156	3666
41	159	3644
42	162	3625
43	165	3601
44	168	3574
45	171	3548
46	174	3536
47	177	3514
48	179	3492
49	182	3469
50	185	3449
51	187	3426
52	191	3414
53	194	3402
54	197	3387
55	200	3374
56	203	3362
57	205	3341
58	208	3323
59	210	3297
60	213	3286
61	216	3270
62	218	3256
63	221	3241
64	224	3234
65	227	3212
66	229	3202
67	232	3190
68	235	3179
69	238	3165
70	240	3152
71	243	3140
72	246	3131
73	249	3122
74	252	3112
75	255	3106
76	262	3143
77	266	3152
78	270	3154
79	274	3154
80	278	3163
81	282	3163
82	288	3187
83	297	3243
84	304	3282
85	310	3299
86	316	3319
87	323	3349
88	354	3628
89	368	3727
90	379	3788
91	385	3806
92	391	3813
93	399	3849
94	405	3858
95	426	4014
96	432	4029
97	441	4066
98	445	4058
99	449	4048
100	453	4039
101	461	4061
102	465	4052
103	469	4040
104	472	4025
105	475	4013
106	479	4000
107	482	3982
108	485	3966
109	488	3951
110	491	3933
111	493	3913
112	496	3896
113	499	3882
114	502	3865
115	505	3851
116	507	3828
117	510	3814
118	512	3797
119	516	3784
120	519	3770
121	522	3757
122	525	3748
123	528	3735
124	531	3721
125	534	3706
126	536	3690
127	540	3684
128	543	3670
129	546	3656
130	549	3647
131	553	3636
132	555	3622
133	558	3611
134	562	3601
135	565	3589
136	567	3577
137	571	3566
138	579	3590
139	582	3578
140	585	3566
141	588	3552
142	590	3540
143	593	3527
144	596	3517
145	599	3507
146	602	3495
147	604	3481
148	607	3470
149	610	3456
150	612	3443
151	614	3429
152	617	3418
153	620	3409
154	623	3397
155	626	3391
156	632	3394
157	634	3381
158	638	3377
159	642	3372
160	649	3386
161	654	3388
162	662	3400
163	668	3406
164	673	3409
165	677	3405
166	681	3397
167	687	3405
168	693	3408
169	699	3415
170	706	3426
171	709	3416
172	713	3409
173	717	3407
174	721	3400
175	724	3393
176	727	3383
177	731	3379
178	737	3384
179	740	3375
180	743	3363
181	746	3354
182	750	3349
183	752	3339
184	755	3329
185	758	3317
186	760	3307
187	763	3299
188	766	3291
189	771	3287
190	773	3276
191	775	3264
192	778	3256
193	781	3246
194	784	3237
195	787	3228
196	789	3219
197	792	3208
198	795	3200
199	797	3191
200	800	3182
201	803	3173
202	805	3163
203	808	3154
204	811	3145
205	813	3137
206	816	3128
207	819	3118
208	821	3109
209	824	3100
210	826	3091
211	829	3082
212	832	3074
213	834	3065
214	837	3056
215	839	3048
216	842	3038
217	844	3030
218	847	3022
219	850	3014
220	852	3006
221	855	2997
222	857	2989
223	860	2982
224	863	2974
225	866	2966
226	868	2958
227	871	2950
228	873	2942
229	876	2934
230	879	2927
231	882	2919
232	884	2912
233	887	2905
234	890	2897
235	892	2890
236	895	2882
237	897	2874
238	901	2869
239	904	2862
240	907	2856
241	909	2849
242	912	2841
243	915	2836
244	918	2830
245	921	2822
246	923	2815
247	925	2806
248	928	2799
249	930	2791
250	934	2788
251	939	2788
252	943	2784
253	946	2780
254	950	2776
255	953	2770
256	959	2773
257	964	2774
258	969	2774
259	978	2786
260	984	2787
261	989	2787
262	994	2787
263	1000	2788
264	1004	2787
265	1010	2788
266	1016	2790
267	1021	2790
268	1027	2793
269	1033	2795
270	1038	2793
271	1041	2786
272	1045	2783
273	1050	2783
274	1054	2778
275	1057	2774
276	1061	2769
277	1064	2764
278	1067	2759
279	1072	2758
280	1078	2758
281	1083	2758
282	1088	2756
283	1091	2751
284	1095	2748
285	1100	2748
286	1104	2743
287	1110	2745
288	1115	2744
289	1121	2745
290	1126	2745
291	1132	2746
292	1138	2746
293	1143	2745
294	1148	2744
295	1154	2746
296	1163	2754
297	1167	2749
298	1170	2744
299	1173	2738
300	1177	2734
301	1180	2728
302	1185	2727
303	1188	2722
304	1192	2716
305	1195	2711
306	1199	2707
307	1204	2706
308	1209	2704
309	1220	2717
310	1228	2722
311	1239	2733
312	1273	2795
313	1283	2804
314	1291	2807
315	1306	2827
316	1310	2823
317	1315	2820
318	1321	2822
319	1327	2820
320	1331	2815
321	1334	2810
322	1337	2803
323	1340	2797
324	1344	2792
325	1348	2787
326	1351	2781
327	1355	2776
328	1358	2771
329	1362	2766
330	1365	2759
331	1368	2753
332	1371	2748
333	1375	2742
334	1378	2737
335	1383	2733
336	1386	2727
337	1392	2726
338	1397	2724
339	1402	2721
340	1405	2716
341	1409	2712
342	1414	2710
343	1419	2706
344	1422	2700
345	1426	2696
346	1431	2693
347	1435	2689
348	1440	2686
349	1443	2680
350	1449	2680
351	1454	2677
352	1459	2675
353	1462	2669
354	1467	2666
355	1472	2663
356	1476	2659
357	1481	2656
358	1486	2654
359	1491	2651
360	1495	2647
361	1500	2645
362	1505	2641
363	1510	2638
364	1514	2635
